onset	duration	nwb_table	go_cue_time_array	target_id	num_targets	num_attempted	target_dir	target_size	result	target_1_x_position	target_1_y_position	target_2_x_position	target_2_y_position	target_3_x_position	target_3_y_position	target_4_x_position	target_4_y_position
27.689	4.134	trials	[27.7904     28.90116667 29.93673333 31.03346667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-5.162373065948486	4.264949798583984	-0.5725656747817993	-0.4947517216205597	-2.726848840713501	5.078576564788818	-6.931225299835205	-7.101612091064453
32.827	3.1510000000000034	trials	[32.92816667 33.65996667 34.2795     35.3562    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-0.1258683055639267	-3.6751205921173096	3.041630983352661	0.19359348714351654	5.707909107208252	-8.913128852844238	5.698190212249756	-1.0602424144744873
36.981	5.088999999999999	trials	[37.08246667 39.29196667 40.40473333 41.53753333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	1.2987653017044067	3.5267045497894287	-0.25126421451568604	-3.8969457149505615	-6.254337310791016	-8.830636024475098	-5.4418559074401855	-3.897089958190918
43.073	3.1980000000000004	trials	[43.1746     44.2212     44.8728     45.62566667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	6.688176155090332	-5.4790358543396	2.5528266429901123	-2.6685404777526855	-5.3855299949646	-0.6696474552154541	-2.2169032096862793	-4.537437915802002
47.275	2.987000000000002	trials	[47.37603333 48.2993     49.03313333 49.71283333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.5230399966239929	-8.719866752624512	-2.2209789752960205	-4.5401105880737305	1.7781319618225098	-7.541296005249023	1.277479648590088	-2.5664243698120117
51.266	3.2719999999999985	trials	[nan nan nan nan]	[nan nan nan nan]	4				R								
55.541	3.2660000000000053	trials	[55.64253333 56.97686667 57.56833333 58.22996667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-5.741418361663818	-8.666954040527344	-1.9861265420913696	-5.365774631500244	2.935457468032837	-6.247823238372803	6.066183567047119	-1.7356078624725342
59.811	0.9620000000000033	trials	[59.91213333         nan         nan         nan]	[ 1. nan nan nan]	4	1.0	0.7853981633974483	2.0	A	-0.05714407190680504	-5.048417568206787	3.359344720840454	-0.11212663352489471	5.1174702644348145	4.568577766418457	0.36082032322883606	3.0277068614959717
61.777	11.533000000000001	trials	[61.87803333 71.51193333 72.08636667 72.65676667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-5.456135272979736	-8.447710037231445	-1.3345187902450562	-5.61711311340332	2.450565814971924	-2.3501369953155518	4.181395053863525	5.884369373321533
74.314	3.2680000000000007	trials	[74.41513333 75.49683333 76.16046667 76.9735    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	8.32869815826416	-2.7125301361083984	3.853527069091797	-0.48254311084747314	8.4814453125	-4.324427604675293	3.584397792816162	-3.3150100708007812
78.586	3.4480000000000075	trials	[78.68673333 79.89073333 80.50926667 81.34433333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-3.390038013458252	-8.770124435424805	0.9877234101295471	-6.3545074462890625	6.686918258666992	3.2912025451660156	-0.44185397028923035	1.2616077661514282
83.038	3.271000000000001	trials	[83.1388     84.2726     84.82296667 85.70013333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-6.276451587677002	5.985381126403809	-2.7722151279449463	2.4188246726989746	4.552669525146484	3.855194330215454	7.053884506225586	8.184619903564453
87.312	3.6329999999999956	trials	[87.4134     88.48406667 89.1056     90.01686667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	5.28881311416626	3.5065300464630127	3.482893705368042	8.1690034866333	-2.5268235206604004	-0.20661652088165283	7.998439311981201	-7.235165119171143
91.949	3.0460000000000065	trials	[92.0499     92.95516667 93.76216667 94.3817    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	3.999746799468994	-4.23342227935791	8.367331504821777	-1.7994531393051147	8.515217781066895	3.198359251022339	3.5528640747070312	3.81076717376709
